IMAGEN,PRODUCTO,PRECIO,CATEGORIA
66.png,Tempra forte c/24 tab, $110.00 ,MEDICAMENTOS POPULARES
67.png,Terramicicina trociscos c/24 tab, $155.00 ,MEDICAMENTOS POPULARES
68.png,Terramicina c/16 cap, $155.00 ,MEDICAMENTOS POPULARES
69.png,Tesalon c/20 perlas, $120.00 ,MEDICAMENTOS POPULARES
70.png,Theraflu Dia c/10 sob, $185.00 ,MEDICAMENTOS POPULARES
71.png,Theraflu Noche c/10 sob, $185.00 ,MEDICAMENTOS POPULARES
72.png,Treda c/20 tab, $98.00 ,MEDICAMENTOS POPULARES
73.png,Treda 20+10, $130.00 ,MEDICAMENTOS POPULARES
74.png,Vikc Vaporub c/12 latas, $165.00 ,MEDICAMENTOS POPULARES
75.png,Vick Pyrena c/12 sob, $235.00 ,MEDICAMENTOS POPULARES
76.png,Xl3  c/8 tab, $38.00 ,MEDICAMENTOS POPULARES
77.png,Xl3 vr c/ 24 tab, $88.00 ,MEDICAMENTOS POPULARES
78.png,Xl3 xtra c/ 12 cap, $48.00 ,MEDICAMENTOS POPULARES
79.png,Vitacilina 16 g, $25.00 ,MEDICAMENTOS POPULARES
80.png,Vitacilina 32 g, $45.00 ,MEDICAMENTOS POPULARES
81.png,Acido borico, $98.00 ,material de curacion
82.png,Agua oxigenada 125 ml c/6, $72.00 ,material de curacion
83.png,Agua oxigenada 250ml, $18.00 ,material de curacion
84.png,Alcohol 96 100ml c/48 pzas, $268.00 ,material de curacion
85.png,Alcohol 96 200ml c/24 pzas, $268.00 ,material de curacion
86.png,Alcohol 96 400ml c/24 pzas, $468.00 ,material de curacion
87.png,alcohol 96 800ml c/12 pzas, $468.00 ,material de curacion
88.png,Algodón 3g quirmex c/100pzas, $88.00 ,material de curacion
89.png,Algodón 10g quirmex c/100pzas,$120.00,material de curacion
90.png,Algodon 25g quirmex c/30pzas, $135.00 ,material de curacion
91.png,Algodón 50 g quirmex c/25pzas, $185.00 ,material de curacion
92.png,Azufre c/50 sob, $89.00 ,material de curacion
93.png,Cinta micropore 3M 2.5mm c/12, $198.00 ,material de curacion
94.png,Cinta micropore 3M 1.5mm c/24, $185.00 ,material de curacion
95.png,Cubreboca c/50, $75.00 ,material de curacion
96.png,Curitas c/100, $55.00 ,material de curacion
97.png,Frasco para muestra c/20, $115.00 ,material de curacion
98.png,Gasa 7.5x7.5 c/100, $130.00 ,material de curacion
99.png,Gasa 7.5x7.5 c/100, $98.00 ,material de curacion
100.png,"Guante med,gde c/100", $450.00 ,material de curacion
101.png,Jeringa 3 ml c/100 platipak, $280.00 ,material de curacion
102.png,Jeringa 5 ml c/100 platipak, $380.00 ,material de curacion
103.png,Jeringa 3ml , $2.50 ,material de curacion
104.png,Jeringa 5 ml , $3.50 ,material de curacion
105.png,Jeringa de indulina, $3.00 ,material de curacion
106.png,Merthiolate rojo jaloma, $20.00 ,material de curacion
107.png,Merthilate bco jaloma, $20.00 ,material de curacion
108.png,Oxido de zinc, $98.00 ,material de curacion
109.png,Parche poroso, $420.00 ,material de curacion
110.png,Pomada para labios jaloma c/36, $185.00 ,material de curacion
111.png,Pomada de la campana 19 grs c/20, $320.00 ,material de curacion
112.png,Preservativo prudence vitrolero c/100, $580.00 ,material de curacion
113.png,Preservativo prudence caja c/100, $560.00 ,material de curacion
114.png,Preservativo tum c/100, $385.00 ,material de curacion
115.png,Preservativo Sico rojo c/3, $85.00 ,material de curacion
116.png,Preservativo sico negro, $85.00 ,material de curacion
117.png,Sulfatyazol c/50 sob, $98.00 ,material de curacion
118.png,tela adesiva No1 c/450, $240.00 ,material de curacion
119.png,tela adesiva No2 c/450, $320.00 ,material de curacion
120.png,venda 5cm c/12, $88.00 ,material de curacion
121.png,venda 7.5 cm c/12, $120.00 ,material de curacion
122.png,venda 10 cm c/12, $185.00 ,material de curacion
123.png,venda 15cm c/12, $230.00 ,material de curacion
124.png,venda 20cm c/12, $278.00 ,material de curacion
125.png,venda 30 cm c/12, $350.00 ,material de curacion
126.png,Violeta de genciana jaloma, $20.00 ,material de curacion
127.png,yodo jaloma, $20.00 ,material de curacion
128.png,Electrolit caja c/12 surtido, $247.00 ,MEDICAMENTOS POPULARES
129.png,suerox caja c/12 surtido, $235.00 ,MEDICAMENTOS POPULARES
130.png,Ac. De almendras, $15.00 ,Perfumeria
131.png,Ac.Mennen 100ml, $40.50 ,Perfumeria
132.png,Ac.mennen 50ml, $32.50 ,Perfumeria
133.png,Biberon evenflo 4oz, $16.50 ,Perfumeria
134.png,Biberon evenflo 8oz, $20.00 ,Perfumeria
135.png,Ac. De Ricino, $15.00 ,Perfumeria
136.png,Cepillo colgate c/6 pzas, $75.50 ,Perfumeria
137.png,Cepillo oral B c/6 pzas, $93.00 ,Perfumeria
138.png,Cotonete jaloma c/20 pzas, $55.00 ,Perfumeria
139.png,Cotonete quirmex c/20 pzas, $53.00 ,Perfumeria
140.png,Crema hinds rosa 90ml, $22.50 ,Perfumeria
141.png,Crema hinds Natural 90ml, $22.50 ,Perfumeria
142.png,Crema Ponds 100ml azul,,Perfumeria
143.png,Crema Ponds 100ml roza,,Perfumeria
144.png,Glicerina, $15.00 ,Perfumeria
145.png,Mamila evenflo con 36 pzas,,Perfumeria
146.png,Crema nivea c/10pzs, $250.00 ,Perfumeria
147.png,Talco mennen 100g azul, $46.50 ,Perfumeria
148.png,Talco mennen 100g rosa, $46.50 ,Perfumeria
149.png,Talco Mexsana, $69.50 ,Perfumeria
150.png,Talco Odolex gde 300G, $21.50 ,Perfumeria
151.png,Talco Odolex gde 150G, $36.00 ,Perfumeria
152.png,Rexona 100g, $50.00 ,Perfumeria
153.png,Toallitas humedas kleenbebe c/90, $19.00 ,Perfumeria
154.png,Toallas saba exb c/30, $72.50 ,Perfumeria
155.png,Head & shoulder c/24 sob, $58.00 ,Perfumeria
156.png,Shampoo pantene c/24 sob, $56.00 ,Perfumeria
157.png,Shampoo palmolive c/24 sob, $66.00 ,Perfumeria
158.png,Toallitas humedas soft c/80, $28.50 ,Perfumeria
159.png,Brillantina palmolive 115ml,,Perfumeria
160.png,Brillantina palmolive 52ml,,Perfumeria
161.png,Permachap rastrillo c/24,$198.00,Micelaneos
162.png,Guillet rastrillo c/24,$362.50,Micelaneos
163.png,Guillet rastrillo c/12,$245.00,Micelaneos
164.png,Tokai rastrillo c/24,$135.00,Micelaneos
165.png,Encendedor tokai c/25,$145.00,Micelaneos
166.png,Encendedor tokai mini c/16,$125.00,Micelaneos
167.png,Microdyn c/12,$315.00,Micelaneos
168.png,Pila Panasonic AA c/12 ,$95.50,Micelaneos
169.png,Pila Panasonic AAA c/12 ,$89.00,Micelaneos
170.png,Pila duracell AA c /6,$112.00,Micelaneos
171.png,Pila duracell AAA  c /6,$110.00,Micelaneos
172.png,Encendedor Bic gde,$335.00,Micelaneos
173.png,Encendedor mini Bic,$222.00,Micelaneos
174.png,Corta Try uñas chico c/12,$85.00,Micelaneos
175.png,Corta Try uñas mediano c/12,$135.00,Micelaneos
176.png,Corta Try uñas  grande,$155.00,Micelaneos
177.png,Pila tectron AA,$55.00,Micelaneos
178.png,Pila tectron AAA,$64.00,Micelaneos
179.png,Kolaloka gota c/10,$198.00,Micelaneos
180.png,Kolaloka goterito c/10,$198.00,Micelaneos
181.png,Kolaloka brocha c/8,$198.00,Micelaneos
182.png,Plastiloka c/10,$189.00,Micelaneos
183.png,Foco maxilub c/10,$75.00,Micelaneos
184.png,Foco let c/10,$85.00,Micelaneos
185.png,Foco alefco 60W,$85.00,Micelaneos
